Publisher,count,Global_Avg_Sales
Electronic Arts,1351,1.888149466192171
Activision,975,2.2172222222222224
Namco Bandai Games,932,0.9056692913385826
Ubisoft,921,1.5271808510638298
Konami Digital Entertainment,832,1.0820143884892086
THQ,715,1.0603658536585365
Nintendo,703,4.454351585014409
Sony Computer Entertainment,683,1.9908056872037916
Sega,639,1.0944055944055944
Take-Two Interactive,413,1.988633540372671
Capcom,381,1.1570078740157481
Atari,363,0.9332478632478632
Tecmo Koei,338,0.39847457627118643
Square Enix,233,0.9835087719298246
Warner Bros. Interactive Entertainment,232,1.0092857142857143
Disney Interactive Studios,218,0.806923076923077
Unknown,203,0.406
Eidos Interactive,198,0.9436470588235293
Midway Games,198,0.6235526315789474
505 Games,192,0.713103448275862
Microsoft Game Studios,189,1.9724561403508774
Acclaim Entertainment,184,0.608
D3Publisher,184,0.32857142857142857
Vivendi Games,164,0.6341269841269842
Codemasters,152,0.5716129032258064
Idea Factory,129,0.0775
Deep Silver,122,0.4337209302325581
Nippon Ichi Software,105,0.2291891891891892
Zoo Digital Publishing,104,0.2221875
Majesco Entertainment,92,0.31157894736842107
LucasArts,90,1.1221739130434785
Rising Star Games,86,0.31547619047619047
Hudson Soft,81,0.4288372093023256
Banpresto,73,0.3225
Bethesda Softworks,71,1.2909677419354837
Crave Entertainment,71,0.23120000000000002
Atlus,67,0.2752941176470588
Virgin Interactive,62,0.9002173913043477
Infogrames,62,0.38323529411764706
Ignition Entertainment,61,0.1776
5pb,61,0.052222222222222225
Focus Home Interactive,58,0.2447619047619048
Marvelous Interactive,56,0.14388888888888887
Empire Interactive,52,0.3129032258064516
SquareSoft,52,1.1444680851063829
Kadokawa Shoten,50,0.14
Destineer,45,0.14681818181818182
GT Interactive,45,0.6451351351351351
DTP Entertainment,45,0.11555555555555556
Alchemist,43,0.16272727272727272
MTV Games,41,0.6090625
Global Star,39,0.3055
PQube,39,0.1565
SouthPeak Games,37,0.23842105263157895
Spike,37,0.22391304347826088
Takara Tomy,37,0.10133333333333333
3DO,36,0.3342307692307692
TDK Mediactive,36,0.2836
Nordic Games,35,0.20473684210526316
BAM! Entertainment,35,0.1808695652173913
Black Bean Games,34,0.126
Zoo Games,33,0.20789473684210527
Mindscape,32,0.3059090909090909
Game Factory,32,0.17882352941176471
Psygnosis,32,0.27954545454545454
Interplay,30,0.24719999999999998
Enix Corporation,30,1.174642857142857
Activision Value,29,0.31000000000000005
Kalypso Media,29,0.13133333333333333
Level 5,27,0.5380952380952382
FuRyu,27,0.06999999999999999
Prototype,27,0.030000000000000006
Little Orbit,26,0.09999999999999999
Avanquest,26,0.15125
Arc System Works,26,0.10500000000000001
Telltale Games,25,0.12944444444444445
Midas Interactive Entertainment,24,0.1553846153846154
Universal Interactive,23,0.8142857142857144
Paradox Interactive,23,0.05333333333333334
Jaleco,23,0.13727272727272727
Aqua Plus,23,0.06454545454545454
Broccoli,22,0.07111111111111111
Oxygen Interactive,22,0.20400000000000001
JoWood Productions,22,0.08916666666666667
SNK,22,0.12266666666666667
Kemco,21,0.125625
ASCII Entertainment,20,0.5689473684210525
Compile Heart,20,0.09076923076923077
Storm City Games,19,0.12272727272727274
Taito,19,0.20846153846153845
Success,19,0.15999999999999998
City Interactive,19,0.27437500000000004
Titus,19,0.2025
SNK Playmore,18,0.07666666666666667
Zushi Games,18,0.1527272727272727
Tomy Corporation,18,0.275625
ChunSoft,18,0.266
Koch Media,17,0.3314285714285714
Rocket Company,17,0.14181818181818182
O-Games,17,0.061111111111111116
SCi,17,0.228
Natsume,17,0.24133333333333334
DreamCatcher Interactive,17,0.072
GSP,16,0.2557142857142857
UFO Interactive,16,0.08777777777777779
Mastiff,16,0.145
Imagineer,16,0.1757142857142857
Falcom Corporation,16,0.101
Milestone S.r.l.,16,0.09500000000000001
Takara,16,0.25538461538461543
Hasbro Interactive,16,0.95125
From Software,15,0.11300000000000002
Ghostlight,15,0.19083333333333333
PopCap Games,15,0.12333333333333334
Sony Computer Entertainment Europe,15,1.6864285714285714
Kadokawa Games,15,0.06833333333333334
Enterbrain,15,0.17200000000000001
Quinrose,14,0.02
989 Studios,14,0.9938461538461538
Rondomedia,14,0.24900000000000003
Ubisoft Annecy,14,0.3372727272727273
CyberFront,14,0.025
Ocean,14,0.26
System 3 Arcade Software,14,0.18222222222222223
Conspiracy Entertainment,14,0.07333333333333333
Playlogic Game Factory,14,0.0811111111111111
Play It,14,0.31923076923076926
Human Entertainment,13,0.2509090909090909
Gust,13,0.09
GungHo,13,0.25916666666666666
Bigben Interactive,13,0.07444444444444444
Acquire,13,0.08333333333333333
Mastertronic,13,0.1975
Nobilis,13,0.186
Marvelous Entertainment,12,0.21090909090909093
Metro 3D,12,0.16545454545454547
Irem Software Engineering,12,0.04
Mattel Interactive,12,0.30363636363636365
XS Games,12,0.16285714285714287
"Destination Software, Inc",12,0.0975
Yeti,11,0.030000000000000006
Hudson Entertainment,11,0.19875
Sammy Corporation,11,0.24818181818181817
Popcorn Arcade,10,0.055714285714285716
Xplosiv,10,0.16
Scholastic Inc.,10,0.31555555555555553
Starfish,10,0.10666666666666667
Sunsoft,10,0.09000000000000001
Brash Entertainment,10,0.1288888888888889
Cave,10,0.043333333333333335
Ackkstudios,10,0.09125
Microids,10,0.045000000000000005
ASCII Media Works,9,0.030000000000000002
Avanquest Software,9,0.32
Gathering of Developers,9,0.1322222222222222
NewKidCo,9,0.14777777777777779
ArtDink,9,0.09857142857142856
Gremlin Interactive Ltd,9,0.12571428571428572
Victor Interactive,9,0.12142857142857143
Sting,9,0.07428571428571429
Foreign Media Games,9,0.08
Aspyr,8,0.0842857142857143
RTL,8,0.2814285714285714
MTO,8,0.06333333333333334
GameMill Entertainment,8,0.1842857142857143
Valcon Games,8,0.055
Agetec,8,0.2425
Telegames,8,0.162
Genki,8,0.1825
Asgard,8,0.033999999999999996
Aksys Games,8,0.05333333333333334
Fox Interactive,8,0.9237500000000001
NEC Interchannel,8,0.11200000000000002
Evolved Games,8,0.049999999999999996
Tru Blu Entertainment,8,0.044
Sony Online Entertainment,8,0.44125000000000003
JVC,8,0.45166666666666666
Rage Software,7,0.20285714285714285
Parker Bros.,7,0.7100000000000001
Gotham Games,7,0.5314285714285714
Big Ben Interactive,7,0.186
BMG Interactive Entertainment,7,0.19166666666666665
Reef Entertainment,7,0.05600000000000001
Epoch,7,0.15
Neko Entertainment,7,0.07
LEGO Media,7,0.22285714285714286
Hackberry,7,0.04666666666666667
Nippon Columbia,7,0.13571428571428573
Nihon Falcom Corporation,7,0.125
Benesse,6,0.055
Compile,6,0.41
Screenlife,6,0.15333333333333332
Seta Corporation,6,0.105
Alternative Software,6,0.035
Comfort,6,0.0275
Paon,6,0.046
Microprose,6,0.33666666666666667
Graffiti,6,0.07250000000000001
Funbox Media,6,0.18
Swing! Entertainment,6,0.08
Idea Factory International,6,0.098
Asylum Entertainment,6,0.09833333333333334
Blast! Entertainment Ltd,6,0.085
Avalon Interactive,6,0.08600000000000001
Astragon,6,0.09
Square,6,0.6066666666666667
Russel,6,0.29500000000000004
Mumbo Jumbo,6,0.135
NCSoft,6,0.5119999999999999
DSI Games,6,0.066
CDV Software Entertainment,6,0.04
Kaga Create,6,0.03
Home Entertainment Suppliers,5,0.17
IE Institute,5,0.192
Hip Interactive,5,0.072
Mentor Interactive,5,0.21400000000000002
Media Works,5,0.0375
Mojang,5,0.5780000000000001
ESP,5,0.14
Nordcurrent,5,0.11800000000000002
Wanadoo,5,0.1575
Coleco,5,0.612
TDK Core,5,0.124
The Adventure Company,5,0.1075
Time Warner Interactive,5,0.06999999999999999
Tommo,5,0.0475
Shogakukan,5,0.088
Crystal Dynamics,5,0.34199999999999997
AQ Interactive,5,0.10600000000000001
Pinnacle,5,0.34750000000000003
bitComposer Games,5,0.09999999999999999
dramatic create,5,0.02
20th Century Fox Video Games,5,0.4
Happinet,5,0.035
KID,4,0.02
Xseed Games,4,0.225
Culture Brain,4,0.08333333333333333
ValuSoft,4,0.0975
7G//AMES,4,0.02
U.S. Gold,4,0.09333333333333334
Trion Worlds,4,0.2875
Touchstone,4,0.395
TopWare Interactive,4,0.03
Video System,4,0.545
Interchannel,4,0.025
TGL,4,0.02
Excalibur Publishing,4,0.07
Global A Entertainment,4,0.037500000000000006
Phenomedia,4,0.04666666666666667
Pioneer LDC,4,0.185
PlayV,4,0.11
Gamecock,4,0.05
LSP Games,4,0.03
Funsta,4,0.05
RedOctane,4,2.17
Encore,4,0.02
Slitherine Software,4,0.052500000000000005
Laguna,4,0.3875
Imagic,4,1.205
Sunrise Interactive,4,0.05000000000000001
Daito,4,0.06666666666666667
System Soft,4,0.015
Knowledge Adventure,4,0.3675
Mercury Games,4,0.05000000000000001
Media Rings,3,0.21666666666666667
Mad Catz,3,0.10000000000000002
Maxis,3,1.1300000000000001
10TACLE Studios,3,0.03666666666666667
Micro Cabin,3,0.06666666666666667
System 3,3,0.07333333333333333
Yuke's,3,0.025
Yacht Club Games,3,0.10666666666666667
Xicat Interactive,3,0.07
Vir2L Studios,3,0.08666666666666667
Valve Software,3,1.0766666666666667
Tradewest,3,0.036666666666666674
Tivola,3,0.060000000000000005
Tigervision,3,0.47333333333333333
Telstar,3,0.09000000000000001
Sony Computer Entertainment America,3,0.39333333333333337
Minato Station,3,0.015
Red Storm Entertainment,3,0.7733333333333333
Princess Soft,3,0.025
P2 Games,3,0.13333333333333333
O3 Entertainment,3,0.07333333333333333
NovaLogic,3,0.2733333333333334
NEC,3,0.14333333333333334
NCS,3,0.13333333333333333
Myelin Media,3,0.05
Mud Duck Productions,3,0.2833333333333333
Slightly Mad Studios,3,0.46
MC2 Entertainment,3,0.03
Daedalic Entertainment,3,0.04666666666666667
Creative Core,3,0.03333333333333333
Agatsuma Entertainment,3,0.10333333333333333
Jorudan,3,0.31666666666666665
Jester Interactive,3,0.3833333333333333
